,CV,TL,AL,TWC,AWC,TSC,ASC,TALRATIO,TAWCRATIO,TASCRATIO,TP,AP,TAPD,TAPMEAN,TS,AS,TASD,TASMEAN
40,3.5,43,512,7,91,1,4,0.083984375,0.07692307692307693,0.25,0.0,0.21249999999999997,0.21249999999999997,0.10624999999999998,0.0,0.21249999999999997,0.21249999999999997,0.21249999999999997
41,3.5,65,8771,13,1641,1,82,0.007410785543267587,0.007921998781230956,0.012195121951219513,-0.4,0.11098693964765394,0.510986939647654,-0.14450653017617304,-0.4,0.11098693964765394,0.510986939647654,-0.2890130603523461
42,4.0,64,923,11,150,1,6,0.06933911159263272,0.07333333333333333,0.16666666666666666,0.175,0.08916666666666667,-0.08583333333333332,0.13208333333333333,0.175,0.08916666666666667,-0.08583333333333332,0.26416666666666666
43,4.5,55,2845,9,465,1,25,0.019332161687170474,0.01935483870967742,0.04,0.1,0.07362121212121213,-0.026378787878787877,0.08681060606060606,0.1,0.07362121212121213,-0.026378787878787877,0.17362121212121212
44,4.0,73,3655,11,587,1,19,0.01997264021887825,0.018739352640545145,0.05263157894736842,0.3333333333333333,0.14942816192816194,-0.18390517140517137,0.24138074763074763,0.3333333333333333,0.14942816192816194,-0.18390517140517137,0.48276149526149525
45,4.5,53,241,10,46,1,2,0.21991701244813278,0.21739130434782608,0.5,-0.1875,0.03125,0.21875,-0.078125,-0.1875,0.03125,0.21875,-0.15625
46,4.0,65,12907,12,2369,1,89,0.005036026962113581,0.005065428450823132,0.011235955056179775,0.0,0.12253310181881616,0.12253310181881616,0.06126655090940808,0.0,0.12253310181881616,0.12253310181881616,0.12253310181881616
47,3.5,89,5594,14,888,1,36,0.01590990346800143,0.015765765765765764,0.027777777777777776,-0.4375,-0.038525598032640294,0.3989744019673597,-0.23801279901632014,-0.4375,-0.038525598032640294,0.3989744019673597,-0.4760255980326403
48,3.5,92,567,15,103,1,6,0.16225749559082892,0.14563106796116504,0.16666666666666666,0.0,0.2041666666666667,0.2041666666666667,0.10208333333333335,0.0,0.2041666666666667,0.2041666666666667,0.2041666666666667
49,4.5,72,1767,10,295,1,13,0.04074702886247878,0.03389830508474576,0.07692307692307693,0.0,0.003707712041045384,0.003707712041045384,0.001853856020522692,0.0,0.003707712041045384,0.003707712041045384,0.003707712041045384
50,4.0,68,2333,12,393,1,17,0.02914702100300043,0.030534351145038167,0.058823529411764705,-0.5,0.1254233511586453,0.6254233511586453,-0.18728832442067733,-0.5,0.1254233511586453,0.6254233511586453,-0.37457664884135466
51,4.0,70,713,15,117,1,4,0.09817671809256662,0.1282051282051282,0.25,0.0,0.04,0.04,0.02,0.0,0.04,0.04,0.04
52,3.5,52,391,8,67,1,4,0.1329923273657289,0.11940298507462686,0.25,0.25,0.08333333333333333,-0.16666666666666669,0.16666666666666666,0.25,0.08333333333333333,-0.16666666666666669,0.3333333333333333
53,3.0,41,794,7,131,1,7,0.05163727959697733,0.05343511450381679,0.14285714285714285,-0.2318181818181818,0.11009358288770053,0.34191176470588236,-0.06086229946524064,-0.2318181818181818,0.11009358288770053,0.34191176470588236,-0.12172459893048128
54,4.0,59,3628,12,649,2,29,0.016262403528114665,0.01848998459167951,0.06896551724137931,-0.25,0.024347442680776016,0.27434744268077604,-0.11282627865961199,-0.25,0.024347442680776016,0.27434744268077604,-0.22565255731922398
55,4.5,79,1604,11,258,1,12,0.049251870324189526,0.04263565891472868,0.08333333333333333,0.0,0.013333333333333336,0.013333333333333336,0.006666666666666668,0.0,0.013333333333333336,0.013333333333333336,0.013333333333333336
56,3.0,49,2679,9,445,1,23,0.018290406868234417,0.020224719101123594,0.043478260869565216,0.0,0.15176085176085174,0.15176085176085174,0.07588042588042587,0.0,0.15176085176085174,0.15176085176085174,0.15176085176085174
57,4.0,67,1450,8,248,1,15,0.046206896551724136,0.03225806451612903,0.06666666666666667,0.0,0.06951446280991734,0.06951446280991734,0.03475723140495867,0.0,0.06951446280991734,0.06951446280991734,0.06951446280991734
58,4.0,85,4312,16,724,1,25,0.01971243042671614,0.022099447513812154,0.04,0.34545454545454546,0.037973484848484854,-0.3074810606060606,0.19171401515151515,0.34545454545454546,0.037973484848484854,-0.3074810606060606,0.3834280303030303
59,4.0,66,2544,10,418,1,18,0.025943396226415096,0.023923444976076555,0.05555555555555555,0.0,0.14308035714285716,0.14308035714285716,0.07154017857142858,0.0,0.14308035714285716,0.14308035714285716,0.14308035714285716
60,4.0,66,474,11,82,1,3,0.13924050632911392,0.13414634146341464,0.3333333333333333,0.0,-0.325,-0.325,-0.1625,0.0,-0.325,-0.325,-0.325
61,5.0,71,768,12,143,1,7,0.09244791666666667,0.08391608391608392,0.14285714285714285,0.375,0.12500000000000003,-0.24999999999999997,0.25,0.375,0.12500000000000003,-0.24999999999999997,0.5
62,3.5,78,2137,13,353,1,15,0.036499766027140855,0.036827195467422094,0.06666666666666667,0.0,0.019444444444444448,0.019444444444444448,0.009722222222222224,0.0,0.019444444444444448,0.019444444444444448,0.019444444444444448
63,4.5,75,1027,13,197,1,7,0.0730282375851996,0.06598984771573604,0.14285714285714285,-0.15833333333333335,0.0659042996933622,0.22423763302669555,-0.04621451681998558,-0.15833333333333335,0.0659042996933622,0.22423763302669555,-0.09242903363997115
64,4.0,74,524,11,91,1,4,0.14122137404580154,0.12087912087912088,0.25,0.35,0.16805555555555554,-0.18194444444444444,0.25902777777777775,0.35,0.16805555555555554,-0.18194444444444444,0.5180555555555555
65,4.5,54,480,9,91,1,5,0.1125,0.0989010989010989,0.2,0.0,0.15376984126984125,0.15376984126984125,0.07688492063492063,0.0,0.15376984126984125,0.15376984126984125,0.15376984126984125
66,4.5,75,2860,16,546,1,28,0.026223776223776224,0.029304029304029304,0.03571428571428571,-1.0,0.1594939187796331,1.1594939187796331,-0.4202530406101834,-1.0,0.1594939187796331,1.1594939187796331,-0.8405060812203669
